FIRSTOCCURRENCE,NODE,ORIGINALSEVERITY,X733SPECIFICPROB
2017-12-31 01:18,TCI004,Critical,Heartbeat Failure
2017-12-31 01:18,TCI006,Critical,Heartbeat Failure
2017-12-31 01:24,TCI004,Critical,Heartbeat Failure
2017-12-31 01:25,TCI006,Critical,Heartbeat Failure
2017-12-31 01:26,JSC007,Critical,Heartbeat Failure
2017-12-31 01:41,JSE045,Critical,Heartbeat Failure
2017-12-31 01:49,TCI004,Critical,Heartbeat Failure
2017-12-31 01:52,TCI006,Critical,Heartbeat Failure
2017-12-31 01:56,JSC056,Critical,Heartbeat Failure
2017-12-31 03:21,SLU245,Critical,Heartbeat Failure
2017-12-31 04:14,TCI004,Critical,Heartbeat Failure
2017-12-31 04:14,TCI006,Critical,Heartbeat Failure
2017-12-31 04:51,JCL060,Critical,Heartbeat Failure
2017-12-31 04:54,JCL034,Critical,Heartbeat Failure
2017-12-31 04:59,JKAM03,Critical,Heartbeat Failure
2017-12-31 06:05,DOM020,Critical,Heartbeat Failure
2017-12-31 06:14,DOM020,Critical,Heartbeat Failure
2017-12-31 06:25,DOM020,Critical,Heartbeat Failure
2017-12-31 07:25,BVV241,Critical,Heartbeat Failure
2017-12-31 07:31,TCI006,Critical,Heartbeat Failure
2017-12-31 07:31,TCI004,Critical,Heartbeat Failure
2017-12-31 07:48,BVT226,Critical,Heartbeat Failure
2017-12-31 07:51,TCI009,Critical,Heartbeat Failure
2017-12-31 07:55,BVT226,Critical,Heartbeat Failure
2017-12-31 08:00,SKB848,Critical,Heartbeat Failure
2017-12-31 08:17,DOM047,Critical,Heartbeat Failure
2017-12-31 09:00,TCI009,Critical,Heartbeat Failure
2017-12-31 09:39,JWM052,Critical,Heartbeat Failure
2017-12-31 09:39,JWM049,Critical,Heartbeat Failure
2017-12-31 09:39,JWM036,Critical,Heartbeat Failure
2017-12-31 09:40,JWM038,Critical,Heartbeat Failure
2017-12-31 09:40,JWM047,Critical,Heartbeat Failure
2017-12-31 09:44,BVT204,Critical,Heartbeat Failure
2017-12-31 09:50,SLU270,Critical,Heartbeat Failure
2017-12-31 10:09,JCL005,Critical,Heartbeat Failure
2017-12-31 11:00,BVT226,Critical,NbapCommon_Layer3SetupFailure
2017-12-31 11:15,SKB828,Critical,Heartbeat Failure
2017-12-31 11:21,JWM017,Critical,Heartbeat Failure
2017-12-31 12:03,TCI009,Critical,Heartbeat Failure
2017-12-31 12:29,SKB829,Critical,Heartbeat Failure
2017-12-31 12:44,BVT206,Critical,Heartbeat Failure
2017-12-31 12:59,TCI009,Critical,Heartbeat Failure
2017-12-31 13:44,JSC052,Critical,Heartbeat Failure
2017-12-31 14:03,BVT233,Critical,Heartbeat Failure
2017-12-31 14:59,DOM005,Critical,Heartbeat Failure
2017-12-31 15:09,JKA063,Critical,Heartbeat Failure
2017-12-31 15:10,JSC066,Critical,Heartbeat Failure
2017-12-31 15:37,BVT223,Critical,Heartbeat Failure
2017-12-31 15:37,BVT209,Critical,Heartbeat Failure
2017-12-31 15:37,BVV241,Critical,Heartbeat Failure
2017-12-31 15:38,BVT203,Critical,Heartbeat Failure
2017-12-31 15:38,BVT229,Critical,Heartbeat Failure
2017-12-31 15:38,BVV240,Critical,Heartbeat Failure
2017-12-31 15:40,BVT243,Critical,Heartbeat Failure
2017-12-31 15:41,BVT201,Critical,Heartbeat Failure
2017-12-31 16:34,BVT213,Critical,Heartbeat Failure
2017-12-31 16:34,BVT208,Critical,Heartbeat Failure
2017-12-31 16:35,BVT222,Critical,Heartbeat Failure
2017-12-31 16:49,AXA419,Critical,Heartbeat Failure
2017-12-31 16:49,AXA408,Critical,Heartbeat Failure
2017-12-31 17:11,W_MNI905,Critical,Heartbeat Failure
2017-12-31 17:12,W_MNI905,Critical,License Key File Fault
2017-12-31 17:22,BVT206,Critical,Heartbeat Failure
2017-12-31 17:23,BVT226,Critical,Heartbeat Failure
2017-12-31 17:32,BVT243,Critical,Heartbeat Failure
2017-12-31 17:35,BVT229,Critical,Heartbeat Failure
2017-12-31 17:48,TCI108,Critical,Heartbeat Failure
2017-12-31 17:51,JKAM03,Critical,Heartbeat Failure
2017-12-31 18:56,DOM030,Critical,Heartbeat Failure
2017-12-31 19:16,AXA423,Critical,Heartbeat Failure
2017-12-31 19:27,BVV239,Critical,Heartbeat Failure
2017-12-31 21:04,BVT212,Critical,Heartbeat Failure
2017-12-31 23:14,DOM020,Critical,Heartbeat Failure
