FIRSTOCCURRENCE,NODE,ORIGINALSEVERITY,X733SPECIFICPROB
2017-12-29 11:52,BVT236,Critical,Heartbeat Failure
2017-12-29 11:59,TCI022,Critical,Heartbeat Failure
2017-12-29 12:06,BVT236,Critical,Heartbeat Failure
2017-12-29 12:09,BVT214,Critical,Heartbeat Failure
2017-12-29 13:29,BVV241,Critical,Heartbeat Failure
2017-12-29 13:38,JCL034,Critical,Heartbeat Failure
2017-12-29 14:06,BVV241,Critical,Heartbeat Failure
2017-12-29 14:14,JTY030,Critical,Heartbeat Failure
2017-12-29 14:23,JTY030,Critical,Heartbeat Failure
2017-12-29 15:01,DOM032,Critical,Heartbeat Failure
2017-12-29 15:23,JKA001,Critical,Heartbeat Failure
2017-12-29 15:24,BVT236,Critical,Heartbeat Failure
2017-12-29 15:25,JSM032,Critical,Heartbeat Failure
2017-12-29 15:57,BVT236,Critical,Heartbeat Failure
2017-12-29 16:04,BVV240,Critical,Heartbeat Failure
2017-12-29 16:06,BVV241,Critical,Heartbeat Failure
2017-12-29 07:06,AXA415,Critical,License Key File Fault
2017-12-29 17:31,JSC025,Critical,Heartbeat Failure
2017-12-29 17:36,DOM020,Critical,Heartbeat Failure
2017-12-29 17:42,BVT227,Critical,Heartbeat Failure
2017-12-29 17:50,JSE010,Critical,Heartbeat Failure
2017-12-29 18:13,BVT236,Critical,Heartbeat Failure
2017-12-29 18:32,TCI009,Critical,Heartbeat Failure
2017-12-29 18:54,DOM020,Critical,Heartbeat Failure
2017-12-29 19:21,JSE010,Critical,Heartbeat Failure
2017-12-29 19:28,JSE010,Critical,Heartbeat Failure
2017-12-29 19:29,LYB125,Critical,Heartbeat Failure
2017-12-29 19:53,BVV241,Critical,Heartbeat Failure
2017-12-29 20:01,BVT236,Critical,Heartbeat Failure
2017-12-29 20:11,JSE051,Critical,Heartbeat Failure
2017-12-29 20:12,JSE015,Critical,Heartbeat Failure
2017-12-29 20:12,JSE016,Critical,Heartbeat Failure
2017-12-29 20:14,JMN057,Critical,Heartbeat Failure
2017-12-29 20:14,JSE041,Critical,Heartbeat Failure
2017-12-29 21:30,JCL034,Critical,Heartbeat Failure
2017-12-29 21:49,DOM022,Critical,Heartbeat Failure
2017-12-29 22:30,DOM030,Critical,Heartbeat Failure
2017-12-29 23:14,TCI006,Critical,Heartbeat Failure
2017-12-29 23:17,TCI004,Critical,Heartbeat Failure
2017-12-30 00:30,JTY037,Critical,Heartbeat Failure
2017-12-30 00:32,BVT236,Critical,Heartbeat Failure
2017-12-27 18:09,JSC032,Critical,ExternalAlarm
2017-12-30 02:16,JCL002,Critical,Heartbeat Failure
2017-12-30 03:06,JWM008,Critical,Heartbeat Failure
2017-12-30 03:07,JWM007,Critical,Heartbeat Failure
2017-12-30 03:07,JWM038,Critical,Heartbeat Failure
2017-12-30 03:08,JWM047,Critical,Heartbeat Failure
2017-12-28 01:54,JSE050,Critical,ExternalAlarm
2017-12-30 05:22,SLU263,Critical,Heartbeat Failure
2017-12-30 05:23,TCI010,Critical,Heartbeat Failure
2017-12-30 05:49,TCI009,Critical,Heartbeat Failure
2017-12-30 06:14,DOM040,Critical,Heartbeat Failure
2017-12-30 06:15,DOM003,Critical,Heartbeat Failure
2017-12-30 06:16,DOM020,Critical,Heartbeat Failure
2017-12-30 07:02,TCI004,Critical,Heartbeat Failure
2017-12-30 07:06,TCI017,Critical,Heartbeat Failure
2017-12-30 07:06,TCI011,Critical,Heartbeat Failure
2017-12-30 07:17,TCI009,Critical,Heartbeat Failure
